"","one_to_hundred","random_salaries","random_salaries_2018","change","got_raise"
"1",1,42128.5708807409,49436.3317172974,7307.76083655655,TRUE
"2",2,49641.0954161547,53500.1038468909,3859.00843073614,TRUE
"3",3,45246.5365128592,48343.8494044822,3097.31289162301,TRUE
"4",4,49623.4044223092,56681.8047850393,7058.40036273003,TRUE
"5",5,47034.9845755845,55478.1268176157,8443.14224203117,TRUE
"6",6,41815.1946156286,51814.7966358811,9999.6020202525,TRUE
"7",7,42570.9016155452,40128.8025989197,-2442.09901662543,FALSE
"8",8,40152.3506129161,47482.4049544986,7330.05434158258,TRUE
"9",9,41012.7150290646,47934.495996451,6921.78096738644,TRUE
"10",10,43390.6615129672,49925.757026067,6535.0955130998,TRUE
"11",11,44757.8775766306,44900.2557049971,142.378128366545,TRUE
"12",12,42849.3793006055,41145.1250198297,-1704.25428077579,FALSE
"13",13,44709.7633895464,46428.0695514753,1718.30616192892,TRUE
"14",14,47414.1321168281,47581.4862945117,167.354177683592,TRUE
"15",15,48740.4576851986,52226.1416143738,3485.68392917514,TRUE
"16",16,41676.8372850493,41885.6691429392,208.831857889891,TRUE
"17",17,41303.0548882671,48046.3224893901,6743.26760112308,TRUE
"18",18,44718.030707445,52990.426342003,8272.39563455805,TRUE
"19",19,42420.1121926308,39367.2663532197,-3052.84583941102,FALSE
"20",20,46719.577962067,44410.4817800689,-2309.09618199803,FALSE
"21",21,46204.2767670937,47937.744014198,1733.46724710427,TRUE
"22",22,48387.5588630326,48860.164785292,472.60592225939,TRUE
"23",23,46324.7200776823,46908.9285924565,584.208514774218,TRUE
"24",24,41815.3478275053,48658.3788623102,6843.03103480488,TRUE
"25",25,45578.4369888715,45982.058562804,403.621573932469,TRUE
"26",26,48852.6501925662,51275.8598197252,2423.20962715894,TRUE
"27",27,40307.4558381923,47343.378290534,7035.92245234177,TRUE
"28",28,42447.3655153997,48678.3133342396,6230.94781883992,TRUE
"29",29,46978.9918675087,52966.5586946066,5987.56682709791,TRUE
"30",30,41384.8782936111,51322.8156196419,9937.93732603081,TRUE
"31",31,46416.4751465432,48196.4351830538,1779.9600365106,TRUE
"32",32,47870.2395455912,57391.9556161854,9521.71607059427,TRUE
"33",33,42586.1392961815,43436.4070824813,850.26778629981,TRUE
"34",34,48768.1023427285,54579.7783473972,5811.6760046687,TRUE
"35",35,43762.6202218235,41025.2321977168,-2737.38802410662,FALSE
"36",36,45911.9353839196,44470.0904155616,-1441.84496835805,FALSE
"37",37,47456.9495068863,46514.4162636716,-942.533243214712,FALSE
"38",38,48008.279891219,56259.7409368027,8251.46104558371,TRUE
"39",39,46627.4666134268,49397.1749884076,2769.70837498084,TRUE
"40",40,40800.1606469043,39219.0017492976,-1581.15889760666,FALSE
"41",41,46547.7881464176,50375.1102520619,3827.32210564427,TRUE
"42",42,40298.6044157296,48357.7720157336,8059.167600004,TRUE
"43",43,49365.7749076374,52295.5436829943,2929.76877535693,TRUE
"44",44,47397.0707622357,48116.2328075152,719.162045279518,TRUE
"45",45,44963.5631241836,54912.4018382281,9948.83871404454,TRUE
"46",46,45310.4834049009,50644.4208102766,5333.93740537576,TRUE
"47",47,41959.2299126089,45283.9851635508,3324.75525094196,TRUE
"48",48,43209.3377993442,48444.6819266304,5235.34412728623,TRUE
"49",49,43446.4699495584,48525.3103869036,5078.84043734521,TRUE
"50",50,49363.9904563315,57364.3030039966,8000.31254766509,TRUE
"51",51,43279.4509455562,45758.8878844399,2479.43693888374,TRUE
"52",52,40360.2513438091,45908.0181468744,5547.76680306531,TRUE
"53",53,41486.4698564634,46023.5219856258,4537.05212916248,TRUE
"54",54,49555.379843805,52188.5462617502,2633.16641794518,TRUE
"55",55,46848.8708534278,43418.2342048734,-3430.63664855435,FALSE
"56",56,49372.8539976291,54812.3847437091,5439.53074607998,TRUE
"57",57,45271.370713599,40689.990548417,-4581.38016518205,FALSE
"58",58,48581.5784847364,56692.469206173,8110.89072143659,TRUE
"59",59,46041.8219026178,41773.8067312166,-4268.0151714012,FALSE
"60",60,40049.7915828601,40131.3535135705,81.5619307104498,TRUE
"61",61,48818.0843926966,58604.8243532423,9786.73996054567,TRUE
"62",62,42080.60617093,47475.4529842176,5394.84681328759,TRUE
"63",63,42113.4564513341,38436.2809814047,-3677.17546992935,FALSE
"64",64,41720.828358084,40665.4558004811,-1055.37255760282,FALSE
"65",65,49557.7668165788,49182.3880420998,-375.378774479032,FALSE
"66",66,41309.4105571508,39898.4336201102,-1410.97693704069,FALSE
"67",67,45449.2223658599,41863.3335572667,-3585.88880859315,FALSE
"68",68,47145.823603496,47859.9504649173,714.126861421391,TRUE
"69",69,46699.9233304523,55622.2630734555,8922.33974300325,TRUE
